path,on_pad,best_overlap,pad_frame_count,dog_frame_count,total_frames_checked,best_confidence
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 19-03-41.mp4,False,0.0,0,20,98,0.842
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 19-21-21.mp4,False,0.0,0,1,36,0.436
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 19-21-40.mp4,False,0.0,0,6,44,0.788
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 19-22-06.mp4,False,0.0,0,3,32,0.556
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 19-22-19.mp4,False,0.0,0,15,36,0.788
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 19-23-09.mp4,False,0.0,0,5,36,0.628
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 21-52-53.mp4,False,0.0,0,32,68,0.787
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 21-56-33.mp4,True,0.645,16,22,64,0.85
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 21-59-07.mp4,False,0.0,0,5,40,0.647
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 21-59-56.mp4,False,0.0,0,2,44,0.598
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-22-25.mp4,False,0.0,0,21,30,0.846
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-22-37.mp4,True,1.0,6,19,84,0.744
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-25-37.mp4,False,0.0,0,3,32,0.757
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-29-14.mp4,True,0.331,1,32,60,0.833
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-30-11.mp4,False,0.0,0,4,36,0.514
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-33-16.mp4,True,0.719,1,16,60,0.781
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-33-47.mp4,True,1.0,39,43,136,0.871
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-36-07.mp4,True,1.0,23,28,76,0.725
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-42-40.mp4,False,0.0,0,5,36,0.509
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-44-40.mp4,False,0.038,0,5,36,0.399
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-44-57.mp4,True,0.129,3,7,36,0.781
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-45-18.mp4,True,0.156,3,40,111,0.907
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-46-09.mp4,False,0.0,0,19,40,0.607
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-46-26.mp4,True,0.205,4,58,103,0.911
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-47-13.mp4,False,0.0,0,21,84,0.715
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-47-53.mp4,False,0.049,0,11,32,0.573
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-48-11.mp4,False,0.0,0,22,74,0.754
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-48-58.mp4,False,0.0,0,3,42,0.667
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-49-14.mp4,False,0.0,0,26,68,0.849
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-49-59.mp4,False,0.0,0,27,72,0.778
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-50-33.mp4,False,0.0,0,27,44,0.79
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-51-02.mp4,False,0.0,0,17,36,0.505
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-51-16.mp4,False,0.0,0,8,56,0.508
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-51-43.mp4,False,0.02,0,13,48,0.865
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-52-26.mp4,False,0.0,0,2,40,0.441
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-53-46.mp4,False,0.0,0,5,40,0.361
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-55-50.mp4,False,0.0,0,14,44,0.416
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-56-45.mp4,True,0.73,6,15,44,0.822
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-58-17.mp4,True,0.481,4,13,48,0.643
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-58-46.mp4,False,0.0,0,11,56,0.748
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 22-59-11.mp4,False,0.0,0,5,40,0.748
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-01-11.mp4,True,0.111,3,14,72,0.769
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-03-14.mp4,False,0.0,0,18,32,0.763
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-03-26.mp4,False,0.0,0,7,36,0.619
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-04-14.mp4,True,0.198,3,12,60,0.814
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-06-25.mp4,True,0.083,2,6,44,0.809
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-07-52.mp4,False,0.0,0,8,44,0.769
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-08-16.mp4,False,0.0,0,3,36,0.693
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-08-33.mp4,False,0.0,0,26,104,0.765
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-09-56.mp4,True,0.071,3,6,36,0.405
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-11-49.mp4,True,1.0,11,14,52,0.758
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-15-27.mp4,True,1.0,5,9,84,0.798
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-16-17.mp4,True,1.0,5,5,36,0.78
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-16-48.mp4,True,1.0,2,2,40,0.439
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-17-22.mp4,True,1.0,26,26,56,0.538
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-17-46.mp4,True,1.0,14,14,36,0.69
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-18-33.mp4,True,1.0,26,42,104,0.87
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-24-59.mp4,False,0.0,0,5,36,0.56
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-55-29.mp4,False,0.0,0,20,48,0.908
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-55-59.mp4,False,0.016,0,6,40,0.647
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 23-56-31.mp4,False,0.016,0,4,60,0.401
